epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.036,1.31706,2.63753,1.17283,0.92516,0.23689,0.44565,0.23279,1.83238,2.7514,1.31521,0.00025005,0.00025005,0.00025005
2,548.745,1.30094,1.2715,1.16518,0.77701,0.22822,0.34343,0.20789,1.8256,2.66511,1.35517,0.000506538,0.000506538,0.000506538
3,814.817,1.30887,1.18871,1.14401,0.56122,0.29094,0.28121,0.15818,1.84289,2.57156,1.41405,0.000752464,0.000752464,0.000752464
4,1081.74,1.22857,1.08966,1.10896,0.68943,0.34419,0.37953,0.22782,1.77473,2.3021,1.43601,0.000987828,0.000987828,0.000987828
5,1347.05,1.19393,1.05812,1.10857,0.74735,0.36585,0.40453,0.25289,1.70524,2.1479,1.36264,0.00121263,0.00121263,0.00121263
6,1618.08,1.21863,1.00678,1.12484,0.71261,0.40607,0.43472,0.26579,1.78713,1.86874,1.37461,0.00142687,0.00142687,0.00142687
7,1884.1,1.2139,1.0474,1.11682,0.80734,0.42334,0.47352,0.30144,1.68702,1.71657,1.33597,0.00146896,0.00146896,0.00146896
8,2147.69,1.2073,0.97837,1.108,0.76692,0.43565,0.49143,0.30452,1.7262,1.45968,1.34779,0.00143595,0.00143595,0.00143595
9,2394.42,1.12761,0.91333,1.07268,0.8497,0.43902,0.48337,0.29907,1.68653,1.433,1.3336,0.00140295,0.00140295,0.00140295
10,2637.79,1.12777,0.91109,1.07414,0.86068,0.44599,0.52282,0.32139,1.6258,1.34932,1.30348,0.00136994,0.00136994,0.00136994
11,2874.32,1.11465,0.88755,1.07546,0.7859,0.47038,0.50467,0.32161,1.59394,1.34525,1.33607,0.00133693,0.00133693,0.00133693
12,3115.49,1.13401,0.8645,1.06274,0.83335,0.47045,0.53488,0.32582,1.56723,1.25012,1.30829,0.00130393,0.00130393,0.00130393
13,3355.53,1.12782,0.89941,1.07457,0.77843,0.4669,0.5352,0.3257,1.54434,1.23948,1.29985,0.00127092,0.00127092,0.00127092
14,3591.82,1.11333,0.86097,1.05567,0.82501,0.45996,0.49546,0.30917,1.57977,1.42289,1.28898,0.00123791,0.00123791,0.00123791
15,3840.2,1.14422,0.84844,1.07198,0.80544,0.47213,0.52919,0.31817,1.60734,1.17116,1.30144,0.00120491,0.00120491,0.00120491
16,4088.29,1.09829,0.83417,1.05131,0.83934,0.48084,0.54254,0.33988,1.54473,1.13844,1.2583,0.0011719,0.0011719,0.0011719
17,4337.15,1.05879,0.80117,1.04706,0.83139,0.46386,0.54401,0.35363,1.48212,1.02964,1.24816,0.00113889,0.00113889,0.00113889
18,4589.3,1.06868,0.75795,1.0344,0.82021,0.47687,0.54272,0.34807,1.54531,1.04732,1.27838,0.00110589,0.00110589,0.00110589
19,4834.84,1.05293,0.76228,1.03645,0.84148,0.47387,0.5259,0.33693,1.56204,1.10813,1.29506,0.00107288,0.00107288,0.00107288
20,5086.64,1.06638,0.79819,1.0564,0.89458,0.47309,0.53328,0.3355,1.53665,1.04488,1.29236,0.00103987,0.00103987,0.00103987
21,5330.87,1.03885,0.77036,1.0309,0.86665,0.4878,0.55049,0.35754,1.46952,1.02854,1.23935,0.00100687,0.00100687,0.00100687
22,5572.01,1.03612,0.72466,1.03122,0.81831,0.4878,0.5459,0.35914,1.5105,1.09206,1.24014,0.000973861,0.000973861,0.000973861
23,5818.01,1.0127,0.71412,1.02659,0.9007,0.48432,0.54838,0.35699,1.50003,1.17892,1.2581,0.000940855,0.000940855,0.000940855
24,6055.98,0.98509,0.73542,1.00974,0.89665,0.46858,0.53414,0.34285,1.53056,1.23177,1.28763,0.000907848,0.000907848,0.000907848
25,6297.66,1.01001,0.70457,1.02152,0.89407,0.44077,0.54503,0.3396,1.51386,1.12305,1.26406,0.000874842,0.000874842,0.000874842
26,6543.02,0.98896,0.70289,1.0147,0.81868,0.4878,0.57592,0.36872,1.46495,1.00406,1.24706,0.000841835,0.000841835,0.000841835
27,6780.59,1.00012,0.69636,1.00631,0.85329,0.49303,0.56389,0.34596,1.54512,1.07986,1.28193,0.000808828,0.000808828,0.000808828
28,7019.43,1.00287,0.69604,1.01969,0.87338,0.48067,0.54902,0.34437,1.54157,1.11439,1.28515,0.000775822,0.000775822,0.000775822
29,7262.97,1.00117,0.68789,1.01313,0.87594,0.49826,0.56218,0.36672,1.47433,1.08246,1.24447,0.000742815,0.000742815,0.000742815
30,7498.75,0.98487,0.68201,1.01118,0.88463,0.49477,0.5589,0.37263,1.45181,1.0467,1.21461,0.000709809,0.000709809,0.000709809
31,7749.77,0.92664,0.64572,0.98484,0.88763,0.48955,0.5412,0.36945,1.44789,1.09833,1.2141,0.000676802,0.000676802,0.000676802
32,8008.19,0.97346,0.64419,1.01445,0.87353,0.49336,0.55582,0.36606,1.45688,1.00302,1.22191,0.000643795,0.000643795,0.000643795
33,8247.95,0.9404,0.62448,0.98606,0.90072,0.48997,0.55331,0.36111,1.5065,0.95741,1.26092,0.000610789,0.000610789,0.000610789
34,8495.05,0.9254,0.66622,0.98691,0.8709,0.49362,0.54832,0.36212,1.4761,0.91698,1.23853,0.000577782,0.000577782,0.000577782
35,8731.73,0.94327,0.62118,0.99178,0.87868,0.49209,0.5616,0.37108,1.44679,0.91446,1.23823,0.000544776,0.000544776,0.000544776
36,8970.21,0.90291,0.58332,0.97963,0.91576,0.49303,0.5589,0.37023,1.47206,0.97252,1.24035,0.000511769,0.000511769,0.000511769
37,9214.05,0.88378,0.59155,0.97455,0.89203,0.48084,0.5672,0.36941,1.49476,0.95699,1.25359,0.000478762,0.000478762,0.000478762
38,9458.07,0.88947,0.60262,0.9751,0.89742,0.47038,0.5525,0.35598,1.52435,0.96611,1.2592,0.000445756,0.000445756,0.000445756
39,9699.56,0.92702,0.62377,0.98992,0.89899,0.46517,0.55012,0.35709,1.49833,0.95504,1.24551,0.000412749,0.000412749,0.000412749
40,9943.15,0.9006,0.5908,0.98212,0.9129,0.46864,0.5631,0.374,1.44502,0.91954,1.22704,0.000379743,0.000379743,0.000379743
41,10178.7,0.87961,0.59947,0.96766,0.91356,0.47875,0.55363,0.36817,1.46366,0.97553,1.22469,0.000346736,0.000346736,0.000346736
42,10426.1,0.89031,0.59275,0.97126,0.90938,0.48258,0.55242,0.36963,1.45548,0.96588,1.22768,0.000313729,0.000313729,0.000313729
43,10659.1,0.87678,0.57509,0.96163,0.899,0.48432,0.55734,0.3744,1.45182,0.93424,1.23778,0.000280723,0.000280723,0.000280723
44,10893.8,0.84994,0.55644,0.95743,0.92688,0.47038,0.55638,0.37659,1.45298,0.95192,1.23286,0.000247716,0.000247716,0.000247716
45,11133.6,0.84684,0.54648,0.95091,0.90602,0.47561,0.55485,0.37839,1.44486,0.96424,1.22633,0.00021471,0.00021471,0.00021471
46,11373.4,0.82622,0.53812,0.95534,0.88854,0.4861,0.55076,0.37746,1.42615,0.99681,1.20633,0.000181703,0.000181703,0.000181703
47,11606.9,0.81984,0.53519,0.94586,0.88174,0.49303,0.56036,0.38422,1.40937,0.94804,1.1922,0.000148696,0.000148696,0.000148696
48,11843.7,0.82113,0.52863,0.95026,0.89533,0.49177,0.56677,0.38748,1.41152,0.92448,1.1968,0.00011569,0.00011569,0.00011569
49,12103.1,0.83429,0.53235,0.94254,0.90102,0.49161,0.56488,0.38855,1.39578,0.9258,1.19125,8.26832e-05,8.26832e-05,8.26832e-05
50,12369.3,0.82006,0.52623,0.92765,0.89471,0.49477,0.56603,0.39018,1.39174,0.92316,1.19151,4.96766e-05,4.96766e-05,4.96766e-05
